year,month,temperature
1880,Mar,-.11
1881,Mar,.04
1882,Mar,.04
1883,Mar,-.13
1884,Mar,-.37
1885,Mar,-.25
1886,Mar,-.38
1887,Mar,-.33
1888,Mar,-.41
1889,Mar,.08
1890,Mar,-.39
1891,Mar,-.19
1892,Mar,-.35
1893,Mar,-.23
1894,Mar,-.25
1895,Mar,-.28
1896,Mar,-.25
1897,Mar,-.13
1898,Mar,-.51
1899,Mar,-.34
1900,Mar,.02
1901,Mar,.08
1902,Mar,-.29
1903,Mar,-.23
1904,Mar,-.51
1905,Mar,-.22
1906,Mar,-.16
1907,Mar,-.27
1908,Mar,-.53
1909,Mar,-.51
1910,Mar,-.50
1911,Mar,-.60
1912,Mar,-.35
1913,Mar,-.43
1914,Mar,-.22
1915,Mar,-.09
1916,Mar,-.28
1917,Mar,-.60
1918,Mar,-.24
1919,Mar,-.19
1920,Mar,-.07
1921,Mar,-.22
1922,Mar,-.12
1923,Mar,-.34
1924,Mar,-.06
1925,Mar,-.24
1926,Mar,.12
1927,Mar,-.36
1928,Mar,-.26
1929,Mar,-.31
1930,Mar,-.08
1931,Mar,-.07
1932,Mar,-.19
1933,Mar,-.30
1934,Mar,-.33
1935,Mar,-.13
1936,Mar,-.22
1937,Mar,-.18
1938,Mar,.07
1939,Mar,-.20
1940,Mar,.15
1941,Mar,.08
1942,Mar,.09
1943,Mar,-.08
1944,Mar,.26
1945,Mar,.06
1946,Mar,.00
1947,Mar,.07
1948,Mar,-.25
1949,Mar,-.02
1950,Mar,-.07
1951,Mar,-.21
1952,Mar,-.10
1953,Mar,.11
1954,Mar,-.15
1955,Mar,-.35
1956,Mar,-.23
1957,Mar,-.06
1958,Mar,.11
1959,Mar,.18
1960,Mar,-.34
1961,Mar,.09
1962,Mar,.12
1963,Mar,-.14
1964,Mar,-.23
1965,Mar,-.11
1966,Mar,.05
1967,Mar,.04
1968,Mar,.21
1969,Mar,.01
1970,Mar,.08
1971,Mar,-.17
1972,Mar,.02
1973,Mar,.27
1974,Mar,-.06
1975,Mar,.13
1976,Mar,-.21
1977,Mar,.25
1978,Mar,.21
1979,Mar,.18
1980,Mar,.30
1981,Mar,.49
1982,Mar,-.01
1983,Mar,.42
1984,Mar,.29
1985,Mar,.17
1986,Mar,.27
1987,Mar,.16
1988,Mar,.51
1989,Mar,.37
1990,Mar,.76
1991,Mar,.35
1992,Mar,.47
1993,Mar,.36
1994,Mar,.26
1995,Mar,.45
1996,Mar,.32
1997,Mar,.53
1998,Mar,.63
1999,Mar,.34
2000,Mar,.57
2001,Mar,.56
2002,Mar,.90
2003,Mar,.58
2004,Mar,.64
2005,Mar,.68
2006,Mar,.61
2007,Mar,.68
2008,Mar,.73
2009,Mar,.52
2010,Mar,.92
2011,Mar,.62
2012,Mar,.56
2013,Mar,.66
2014,Mar,.76
2015,Mar,.90
2016,Mar,1.31
2017,Mar,1.12
2018,Mar,.91
1880,Jun,-.23
1881,Jun,-.20
1882,Jun,-.26
1883,Jun,-.12
1884,Jun,-.40
1885,Jun,-.44
1886,Jun,-.39
1887,Jun,-.23
1888,Jun,-.18
1889,Jun,-.13
1890,Jun,-.26
1891,Jun,-.20
1892,Jun,-.22
1893,Jun,-.27
1894,Jun,-.44
1895,Jun,-.23
1896,Jun,-.14
1897,Jun,-.16
1898,Jun,-.20
1899,Jun,-.33
1900,Jun,-.12
1901,Jun,-.12
1902,Jun,-.35
1903,Jun,-.46
1904,Jun,-.51
1905,Jun,-.30
1906,Jun,-.21
1907,Jun,-.43
1908,Jun,-.41
1909,Jun,-.52
1910,Jun,-.37
