year,zone,temperature
1880,Glob,-.18
1881,Glob,-.10
1882,Glob,-.11
1883,Glob,-.19
1884,Glob,-.29
1885,Glob,-.31
1886,Glob,-.32
1887,Glob,-.34
1888,Glob,-.17
1889,Glob,-.10
1890,Glob,-.37
1891,Glob,-.23
1892,Glob,-.26
1893,Glob,-.31
1894,Glob,-.31
1895,Glob,-.22
1896,Glob,-.11
1897,Glob,-.12
1898,Glob,-.28
1899,Glob,-.18
1900,Glob,-.09
1901,Glob,-.15
1902,Glob,-.30
1903,Glob,-.39
1904,Glob,-.49
1905,Glob,-.29
1906,Glob,-.22
1907,Glob,-.39
1908,Glob,-.43
1909,Glob,-.47
1910,Glob,-.43
1911,Glob,-.43
1912,Glob,-.35
1913,Glob,-.35
1914,Glob,-.15
1915,Glob,-.12
1916,Glob,-.33
1917,Glob,-.44
1918,Glob,-.28
1919,Glob,-.26
1920,Glob,-.25
1921,Glob,-.17
1922,Glob,-.27
1923,Glob,-.24
1924,Glob,-.25
1925,Glob,-.20
1926,Glob,-.09
1927,Glob,-.20
1928,Glob,-.19
1929,Glob,-.34
1930,Glob,-.14
1931,Glob,-.10
1932,Glob,-.16
1933,Glob,-.29
1934,Glob,-.14
1935,Glob,-.21
1936,Glob,-.16
1937,Glob,-.04
1938,Glob,-.03
1939,Glob,-.03
1940,Glob,.11
1941,Glob,.18
1942,Glob,.05
1943,Glob,.07
1944,Glob,.21
1945,Glob,.09
1946,Glob,-.07
1947,Glob,-.04
1948,Glob,-.11
1949,Glob,-.11
1950,Glob,-.18
1951,Glob,-.07
1952,Glob,.01
1953,Glob,.07
1954,Glob,-.15
1955,Glob,-.15
1956,Glob,-.21
1957,Glob,.04
1958,Glob,.07
1959,Glob,.03
1960,Glob,-.02
1961,Glob,.06
1962,Glob,.04
1963,Glob,.07
1964,Glob,-.20
1965,Glob,-.10
1966,Glob,-.05
1967,Glob,-.02
1968,Glob,-.07
1969,Glob,.07
1970,Glob,.03
1971,Glob,-.09
1972,Glob,.01
1973,Glob,.16
1974,Glob,-.08
1975,Glob,-.01
1976,Glob,-.11
1977,Glob,.17
1978,Glob,.06
1979,Glob,.16
1980,Glob,.27
1981,Glob,.33
1982,Glob,.13
1983,Glob,.31
1984,Glob,.16
1985,Glob,.12
1986,Glob,.18
1987,Glob,.33
1988,Glob,.41
1989,Glob,.29
1990,Glob,.44
1991,Glob,.41
1992,Glob,.22
1993,Glob,.24
1994,Glob,.31
1995,Glob,.45
1996,Glob,.34
1997,Glob,.47
1998,Glob,.62
1999,Glob,.40
2000,Glob,.40
2001,Glob,.54
2002,Glob,.62
2003,Glob,.61
2004,Glob,.53
2005,Glob,.67
2006,Glob,.61
2007,Glob,.64
2008,Glob,.51
2009,Glob,.63
2010,Glob,.70
2011,Glob,.58
2012,Glob,.62
2013,Glob,.65
2014,Glob,.73
2015,Glob,.87
2016,Glob,.99
2017,Glob,.90
1880,NHem,-.32
1881,NHem,-.20
1882,NHem,-.22
1883,NHem,-.33
1884,NHem,-.45
1885,NHem,-.41
1886,NHem,-.42
1887,NHem,-.40
1888,NHem,-.23
1889,NHem,-.17
1890,NHem,-.41
1891,NHem,-.27
1892,NHem,-.37
1893,NHem,-.45
1894,NHem,-.39
1895,NHem,-.28
1896,NHem,-.19
1897,NHem,-.17
1898,NHem,-.28
1899,NHem,-.20
1900,NHem,-.08
1901,NHem,-.10
1902,NHem,-.35
1903,NHem,-.39
1904,NHem,-.50
1905,NHem,-.31
1906,NHem,-.23
1907,NHem,-.47
1908,NHem,-.45
1909,NHem,-.47
1910,NHem,-.43
1911,NHem,-.40
1912,NHem,-.46
1913,NHem,-.43
1914,NHem,-.20
1915,NHem,-.11
1916,NHem,-.36
1917,NHem,-.54
1918,NHem,-.37
1919,NHem,-.33
1920,NHem,-.26
1921,NHem,-.08
1922,NHem,-.25
1923,NHem,-.19
1924,NHem,-.16
1925,NHem,-.11
1926,NHem,.04
1927,NHem,-.11
1928,NHem,-.08
